Title,URL,Root Cause of Flakiness,Root Cause Category,Tests/Code Affected (to Reproduce),Testing Environment/Runner,Manifestation Category,How Fixed in Code,Fix Category,Link to Pull Request (if needed),,,,,,,,
"Fixes'part'of'#6240:'Fix'Flaky'Exploration'Card'Finding'(#8659)\n\n*'Protractor:'Fix'Flaky'Exploration'Card'Finding\r\n\r\nFinding'exploration'cards'on'the'creator'dashboard'page'was'flaky\r\nbecause'sometimes'the'protractor'test'would'search'for'the'cards'before\r\nthe'cards'had'loaded.'Further,'the'logic'used'to'identify'matching'cards\r\nfailed'when'the'card'contained'text'besides'the'exploration'title.'This\r\ncommit'resolves'these'issues'by:\r\n\r\n*'Waiting'for'an'exploration'card'to'appear'before'searching'for'them\r\n*'When'filtering'cards'by'title,'consider'cards'to'match'if'their'text\r\n''equals'the'target'title'or'begins'with'the'target'title'concatenated\r\n''with'a'newline.'This'works'because'when'other'text'is'included'in'the\r\n''card,'a'newline'separates'that'text'from'the'title.\r\n\r\n*'Style'fixes\r\n\r\n*'Replace'presenceOf'with'visibilityOf\r\n\r\nWe'were'waiting'for'a'card'to'exist'in'the'DOM'(whether'or'not'it'was\r\nvisible),'but'we'really'do'want'it'to'be'visible'before'clicking'it.\r\nFurther,'by'relying'on'`visibilityOf`,'we'can'use'existing'code.'This\r\ncommit'makes'this'switch.",https://github.com/oppia/oppia/commit/83ac09d7c391bf3446b62d9a09b0c74443bd6adb,Card test flaky due to not waiting for visibility correctly,DOM Selector Issue,https://github.com/oppia/oppia/blob/83ac09d7c391bf3446b62d9a09b0c74443bd6adb/core/tests/protractor_utils/CreatorDashboardPage.js,TravisCI,Unspecified,Added code to wait for visibility instead of DOM attachment,Fix Await Mechanism,https://github.com/oppia/oppia/pull/8659,,,,,,,,
Fix flaky overlay tests w/ nested setTimeouts (#1943),https://github.com/palantir/blueprint/commit/a133dff3190e84db84651da84bc643d841658f50,Flaky overlay tests due to setTimeout issue executing before next frame,DOM Selector Issue,https://github.com/palantir/blueprint/blob/a133dff3190e84db84651da84bc643d841658f50/packages/core/test/overlay/overlayTests.tsx,"CircleCI, Karma",Unspecified,Add nested setTimeout to delay execution of callback,Fix Await Mechanism,https://github.com/palantir/blueprint/pull/1943,,,,,,,,
"skip flaky tests, add comments mentioning FLUP issue (#1681)",https://github.com/palantir/blueprint/commit/c2aada111f8e82e074a5765143ece5d07da6c4cf,Overlay and toaster focus flaky due to DOM focusing,DOM Selector Issue,https://github.com/palantir/blueprint/blob/c2aada111f8e82e074a5765143ece5d07da6c4cf/packages/core/test/overlay/overlayTests.tsx,"CircleCI, Karma",Unspecified,Tests skipped,Remove Test,https://github.com/palantir/blueprint/pull/1681,,,,,,,,
Skip flaky test (#1514),https://github.com/palantir/blueprint/commit/dd90bfa0943dd6ac2ea1d233162cc3c21aa4e701,Overlay focus flaky,DOM Selector Issue,https://github.com/palantir/blueprint/blob/dd90bfa0943dd6ac2ea1d233162cc3c21aa4e701/packages/core/test/overlay/overlayTests.tsx,"CircleCI, Karma",Unspecified,Skipped,Remove Test,https://github.com/palantir/blueprint/pull/1514,,,,,,,,
Merge pull request #9818 from vishal423/improve-e2e-account-react\n\nreact: Fix intermittent e2e failures,https://github.com/jhipster/generator-jhipster/commit/2865e441e4b09335f88f3839ee9147f8b8b9c05e,React account e2e button tests wait for elements to be displayable instead of clickable,Resource Rendering,https://github.com/jhipster/generator-jhipster/blob/2865e441e4b09335f88f3839ee9147f8b8b9c05e/generators/client/templates/react/src/test/javascript/e2e/modules/account/account.spec.ts.ejs,Azure,Run on Specific Platform,Added function to wait until clickable,Fix Await Mechanism,https://github.com/jhipster/generator-jhipster/pull/9818,,,,,,,,
react: try to fix e2e flakiness,https://github.com/jhipster/generator-jhipster/commit/44c54f6a5ae843123e2b8b74b5be5fe0f3a199cc,e2e account test not waiting properly for browser,Incorrect Resource Load Order,https://github.com/jhipster/generator-jhipster/blob/44c54f6a5ae843123e2b8b74b5be5fe0f3a199cc/generators/client/templates/react/src/test/javascript/e2e/modules/account/account.spec.ts.ejs,Azure,Unspecified,Added browser wait until displayed,Fix Await Mechanism,https://github.com/jhipster/generator-jhipster/pull/7469,,,,,,,,
Merge pull request #167 from mozilla-services/162-fix-intermittent-datewidget-test\n\nFix intermittent DateWidget test,https://github.com/rjsf-team/react-jsonschema-form/commit/2318786b38ead5eddc7c0e3146825f19013e0beb,Button returning now value needs to have looser check on condition for slow system,Time,https://github.com/rjsf-team/react-jsonschema-form/blob/2318786b38ead5eddc7c0e3146825f19013e0beb/test/StringField_test.js,TravisCI,Unspecified,Added approximate check of +- 5 ms,Refactor Logic Implementation,https://github.com/rjsf-team/react-jsonschema-form/pull/167,,,,,,,,
test(angular1): Temporarily comment out flaky test,https://github.com/OnsenUI/OnsenUI/commit/e5f3e1a0e11a2f9aa97b0fca65d1a5544b6276dc,Flaky behavior with DOM selectors,DOM Selector Issue,https://github.com/OnsenUI/OnsenUI/blob/e5f3e1a0e11a2f9aa97b0fca65d1a5544b6276dc/bindings/angular1/test/e2e/dialog/scenarios.js,CircleCI,Unspecified,Commented out,Remove Test,,,,,,,,,
Test: Disable problematic List test (#11920)\n\n* Disable List test causing intermittent test failures.\r\n\r\n* Change files\r\n\r\n* Change change type.,https://github.com/OfficeDev/office-ui-fabric-react/commit/00b6694e2bd2f1de1713f9303fdff5dd63fcda9e,Cell calls flaky due to DOM selectors,DOM Selector Issue,https://github.com/microsoft/fluentui/blob/00b6694e2bd2f1de1713f9303fdff5dd63fcda9e/packages/office-ui-fabric-react/src/components/List/List.test.tsx,Azure ,Unspecified,Disabled test,Remove Test,https://github.com/microsoft/fluentui/pull/11920,,,,,,,,
add'treemap_coffee'to'list'of'flaky'image'tests,https://github.com/plotly/plotly.js/commit/66156054cb08b90bc50219ff9a2baeebb674c580,Flaky image loading,Network Resource Loading,https://github.com/plotly/plotly.js/blob/66156054cb08b90bc50219ff9a2baeebb674c580/test/image/compare_pixels_test.js,CircleCI,Provide Example,Added to blacklist,Blacklist Test,https://github.com/plotly/plotly.js/pull/4470,,,,,,,,
add'two'mocks'to'list'of'flaky'test'image'mocks,https://github.com/plotly/plotly.js/commit/ef28e781b326ca785bc59a1deda9734b718116a6,Flaky image loading,Network Resource Loading,https://github.com/plotly/plotly.js/blob/ef28e781b326ca785bc59a1deda9734b718116a6/test/image/compare_pixels_test.js,CircleCI,Provide Example,Added to blacklist,Blacklist Test,https://github.com/plotly/plotly.js/pull/4419,,,,,,,,
add'a'few'flaky'tags'in'transition_test.js,https://github.com/plotly/plotly.js/commit/aae0c60c6c720ef7de33333dfb7884087dae2edc,Transition timing flaky,Animation Timing Issue,https://github.com/plotly/plotly.js/blob/aae0c60c6c720ef7de33333dfb7884087dae2edc/test/jasmine/tests/transition_test.js,CircleCI,Provide Example,Added @flaky tag to test,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/4262,,,,,,,,
add'@flaky'to'editable:true'colorbar'tests,https://github.com/plotly/plotly.js/commit/cb5be64e4ab290ce92272783676e152722c95f56,Editable option affecting element selection,DOM Selector Issue,https://github.com/plotly/plotly.js/blob/cb5be64e4ab290ce92272783676e152722c95f56/test/jasmine/tests/colorbar_test.js,CircleCI,Unspecified,Added @flaky tag to tests,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/4322,,,,,,,,
Merge'pull'request'#4321'from'plotly/test-image-flaky-mocks\n\nFlaky'image'tests,https://github.com/plotly/plotly.js/commit/742b83da9f851860d3f217c7fb56b763912b541b,Flaky font loading on different machines and runs,Network Resource Loading,https://github.com/plotly/plotly.js/blob/742b83da9f851860d3f217c7fb56b763912b541b/test/image/compare_pixels_test.js,CircleCI,Unspecified,Filter out font-wishlist and mapbox tests,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/4321,,,,,,,,
add'`@flaky`'to''hover'effects'for'titles'that'used'to'be'blank''test,https://github.com/plotly/plotly.js/commit/11bc6259b47eb41e9c869d25f5d36defce02bddb,Editable option affecting element selection,DOM Selector Issue,https://github.com/plotly/plotly.js/blob/11bc6259b47eb41e9c869d25f5d36defce02bddb/test/jasmine/tests/titles_test.js,CircleCI,Unspecified,Added @flaky tag to tests,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/4321,,,,,,,,
add'one'more'flaky'tag'in'transition_test.js,https://github.com/plotly/plotly.js/commit/70bfd5074516ae1279968e060a36d4c08b75d931,Transition timing flaky causing timeout,Animation Timing Issue,https://github.com/plotly/plotly.js/blob/70bfd5074516ae1279968e060a36d4c08b75d931/test/jasmine/tests/transition_test.js,CircleCI,Provide Example,Added @flaky tag to tests,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/4273,,,,,,,,
"test:'tag'@flaky'test,':hocho:'useless'lines",https://github.com/plotly/plotly.js/commit/5160948d6813b5de162fb6a68af44bd7be1bec9b,Sorting z-axis in plot intermittently fails based on test data,Resource Rendering,https://github.com/plotly/plotly.js/blob/5160948d6813b5de162fb6a68af44bd7be1bec9b/test/jasmine/tests/histogram2d_test.js,CircleCI,Provide Example,Added @flaky tag to test,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/3827,,,,,,,,
split'`namelength`'test'to'reduce'flakiness,https://github.com/plotly/plotly.js/commit/b2975c90d9e9e388d49c37fbc5e7c255b9cfd6d8,Hover label test failed when text size was 0,Resource Rendering,https://github.com/plotly/plotly.js/blob/b2975c90d9e9e388d49c37fbc5e7c255b9cfd6d8/test/jasmine/tests/gl3d_plot_interact_test.js,CircleCI,Provide Example,Split into separate test and add code for fallback fixed length,Refactor Logic Implementation,https://github.com/plotly/plotly.js/pull/3734,,,,,,,,
should'reset'one'sankey'test'-'no'need'to'flaky'flag'as'it'fails'locally'and'on'the'CI\nset'timeout'for'the'rest'of'the'tests'in'one'suite\nadded'one'noCI'flag'to'the'sankey'test'which'is'failing'on'the'CI'and'even'locally'with'flaky'flag\nset'flaky'retry'to'5'now'that'it'runs'fast,https://github.com/plotly/plotly.js/commit/17b506815dc44ba90b1daf2d0891b822bebb2ab0,Tests timeout in CI,Network Resource Loading,https://github.com/plotly/plotly.js/blob/17b506815dc44ba90b1daf2d0891b822bebb2ab0/test/jasmine/tests/gl2d_plot_interact_test.js,CircleCI,Rerun Multiple Times,Increase timeout and flaky retry count,Add/Increase Delay,https://github.com/plotly/plotly.js/pull/3667,,,,,,,,
reduced'retries'to'2'and'3'-'marked'one'test'as'flaky,https://github.com/plotly/plotly.js/commit/8241bc8b22164683f2d265aa49d732c615498542,Test timeout in CI,Resource Rendering,https://github.com/plotly/plotly.js/blob/8241bc8b22164683f2d265aa49d732c615498542/test/jasmine/tests/sankey_test.js,CircleCI,Rerun Multiple Times,Add @flaky tag,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/3667,,,,,,,,
add'a'flaky'flag'for'one'test,https://github.com/plotly/plotly.js/commit/4eb5dafc041e51aa251e99da9abae41884e31f05,Tests times out,Resource Rendering,https://github.com/plotly/plotly.js/blob/4eb5dafc041e51aa251e99da9abae41884e31f05/test/jasmine/tests/shapes_test.js,CircleCI,Provide Example,Add @flaky tag,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/3531,,,,,,,,
add'flaky'to''responsive'after'update''test,https://github.com/plotly/plotly.js/commit/8f627dcacc40a031a7da1516c4e438dc5f795618,Test timeout in CI,Resource Rendering,https://github.com/plotly/plotly.js/blob/8f627dcacc40a031a7da1516c4e438dc5f795618/test/jasmine/tests/config_test.js,CircleCI,Provide Example,Add @flaky tag,Mark Test as Flaky,https://github.com/plotly/plotly.js/issues/3197,,,,,,,,
tag'new'select'test'as'@flaky,https://github.com/plotly/plotly.js/commit/d9d626ae53109144dd2a9eeea9c7daf5f1e45a37,Test timeout in CI,Resource Rendering,https://github.com/plotly/plotly.js/blob/d9d626ae53109144dd2a9eeea9c7daf5f1e45a37/test/jasmine/tests/select_test.js,CircleCI,Provide Example,Add @flaky tag,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/3021,,,,,,,,
mark'polar'drag'test'flaky,https://github.com/plotly/plotly.js/commit/13204a9be522b20ec030b25f1a35d0e763281776,events number triggered flaky,DOM Selector Issue,https://github.com/plotly/plotly.js/blob/13204a9be522b20ec030b25f1a35d0e763281776/test/jasmine/tests/polar_test.js,CircleCI,Provide Example,Added @flaky tag to test,Mark Test as Flaky,https://github.com/plotly/plotly.js/issues/2510,,,,,,,,
"Add'baselines,'mark'flaky'test",https://github.com/plotly/plotly.js/commit/37e054864cfec82316bdadab1b197b53164ae007,hover and click interactions flaky,DOM Selector Issue,https://github.com/plotly/plotly.js/blob/37e054864cfec82316bdadab1b197b53164ae007/test/jasmine/tests/gl2d_click_test.js,CircleCI,Unspecified,Added @flaky tag to test,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/2499,,,,,,,,
Mark'flaky'tests,https://github.com/plotly/plotly.js/commit/4e6935aede26f25466c1817ef6addb3c259ab35c,Flaky grid rendering,Resource Rendering,https://github.com/plotly/plotly.js/blob/4e6935aede26f25466c1817ef6addb3c259ab35c/test/jasmine/tests/gl2d_plot_interact_test.js,CircleCI,Unspecified,Added @flaky tag to test,Mark Test as Flaky,https://github.com/plotly/plotly.js/commit/4e6935aede26f25466c1817ef6addb3c259ab35c,,,,,,,,
@flaky'on'ordinal'constraint'snap'test,https://github.com/plotly/plotly.js/commit/fff668ace691575ecbd509f942ccd88d2b30bd1d,SVG slowing down rendering,Resource Rendering,https://github.com/plotly/plotly.js/blob/fff668ace691575ecbd509f942ccd88d2b30bd1d/test/jasmine/tests/parcoords_test.js,CircleCI,Unspecified,Added @flaky tag to test,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/2415,,,,,,,,
add'`flaky`'tag'to'scattergl'visible'toggle'test,https://github.com/plotly/plotly.js/commit/011443eb73ea89aef14e798570c4ad200ae25b5b,visible toggle flaky,Resource Rendering,https://github.com/plotly/plotly.js/blob/011443eb73ea89aef14e798570c4ad200ae25b5b/test/jasmine/tests/gl2d_plot_interact_test.js,CircleCI,Unspecified,Added @flaky tag to test,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/2429,,,,,,,,
try'marking'the'test'that's'failing'on'CI'only'as'flaky\nstill'don't'know'why'it's'failing...'but'it'seems'to'work'when'run'in'a'smaller'batch,https://github.com/plotly/plotly.js/commit/446f9f95d7539c5dc603b362e900688634eb8b0a,seems to be batch issue,Platform Issue,https://github.com/plotly/plotly.js/blob/446f9f95d7539c5dc603b362e900688634eb8b0a/test/jasmine/tests/parcoords_test.js,CircleCI,Unspecified,Added @flaky tag to test,Mark Test as Flaky,https://github.com/plotly/plotly.js/pull/2399,,,,,,,,
one'more'flaky'test'suite,https://github.com/plotly/plotly.js/commit/a2fc07a187c4d26bf2f1bcb3e2aa806b75ad24fc,Flaky transitions in grid,Animation Timing Issue,https://github.com/plotly/plotly.js/blob/a2fc07a187c4d26bf2f1bcb3e2aa806b75ad24fc/test/jasmine/tests/select_test.js,CircleCI,Provide Example,Added @flaky tag to test,Mark Test as Flaky,https://github.com/plotly/plotly.js/issues/2336,,,,,,,,
make'gl2d'drag'test'use'assets/drag\n\n...'which'should'make'things'more'robust'and'lead'to'less\n''''intermittent'ci'failures,https://github.com/plotly/plotly.js/commit/44b0ae6f9e4c1c4ea79ffb67d303647ca630c78c,Flaky transitions in grid,Animation Timing Issue,https://github.com/plotly/plotly.js/commit/44b0ae6f9e4c1c4ea79ffb67d303647ca630c78c,CircleCI,Unspecified,used asserts/drag && added then callback,Refactor Logic Implementation,https://github.com/plotly/plotly.js/pull/2258,,,,,,,,
throttle'image'export'tests\n\n-'in'an'effort'to'make'`npm'run'test-export`'not'fail'intermittently\n''on'the'(weaker-hardware)'CI'machines.,https://github.com/plotly/plotly.js/commit/667913c0796c08d03593469403a210588ba627a1,CI cannot hold this many tests,Platform Issue,https://github.com/plotly/plotly.js/blob/667913c0796c08d03593469403a210588ba627a1/test/image/export_test.js,CircleCI,Unspecified,Batched,Refactor Logic Implementation,https://github.com/plotly/plotly.js/pull/1490,,,,,,,,
"`<SocialPreview/> - resolve visual flakiness (#4536)\n\n* <SocialPreview/> - add async await for image onload\r\n\r\n* <SocialPreview/> - remove redundant code\r\n\r\n* <ImageViewer/>, <SocialPreview/> - lower the onDone timeout\r\n\r\n* <ImageViewer/>, <SocialPreview/> - make onDone be called when image is loaded",https://github.com/wix/wix-style-react/commit/f47e483581a8dac163dd96cb2467c1b4612c62c1,Visual flakiness in rendering,Resource Rendering,https://github.com/wix/wix-style-react/blob/f47e483581a8dac163dd96cb2467c1b4612c62c1/src/ImageViewer/ImageViewer.visual.js,Jest,Unspecified,Add wrapper to handle flaky resource loading,Mark Test as Flaky,https://github.com/wix/wix-style-react/pull/4536,,,,,,,,
skip flaky tests,https://github.com/wix/wix-style-react/commit/7e371bc787f220ecd9f7e3a0d43b32495ef81a71,Flaky popover rendering,Resource Rendering,https://github.com/wix/wix-style-react/blob/7e371bc787f220ecd9f7e3a0d43b32495ef81a71/src/Popover/Popover.e2e.js,Jest,Unspecified,Disabled flaky tests,Remove Test,,,,,,,,,
"<Accordion/> - skip flaky visual eyes test (#3306)\n\nAccordion has an animation when it mounts, which causes the snapshot to be flaky",https://github.com/wix/wix-style-react/commit/ddebb9fc31f3aaea7b80dea034c3baa256ec2b74,Animation flaky rendering,Animation Timing Issue,https://github.com/wix/wix-style-react/blob/ddebb9fc31f3aaea7b80dea034c3baa256ec2b74/src/Accordion/test/Accordion.visual.js,Jest,Unspecified,Disabled flaky tests,Remove Test,https://github.com/wix/wix-style-react/pull/3306,,,,,,,,
Remove dead code `src/Backoffice./ButtonLayout` (#2231)\n\n* Remove old Backoffice/ButtonLayout\r\n\r\n* Fix DatePicker flaky e2e test\r\n\r\n* Fix Flaky Text e2e test\r\n\r\n* Text e2e - remove example when not needed\r\n\r\n* Text e2e - fix before->beforeAll,https://github.com/wix/wix-style-react/commit/58ab99f4251754b2cd13b5e0af62490778651d53,Incorrect waiting for browser interaction calls,Incorrect Test Runner Interaction,https://github.com/wix/wix-style-react/blob/58ab99f4251754b2cd13b5e0af62490778651d53/src/DatePicker/DatePicker.e2e.js,Jest,Unspecified,Added await statements,Fix Await Mechanism,https://github.com/wix/wix-style-react/pull/2231,,,,,,,,
Fix radio button flaky test (#1969),https://github.com/wix/wix-style-react/commit/65c4774ef6d777ef3f57e64287b6e2e5aa3a5c70,Incorrect usage of framework API,Incorrect Test Runner Interaction,https://github.com/wix/wix-style-react/blob/65c4774ef6d777ef3f57e64287b6e2e5aa3a5c70/src/RadioGroup/RadioGroup.e2e.js,Jest,Unspecified,Refactored to properly return value,Refactor Logic Implementation,https://github.com/wix/wix-style-react/pull/1969,,,,,,,,
fix flaky loader tests (#1936),https://github.com/wix/wix-style-react/commit/3938190371f844b2540f8466dcdd4be7e3eff880,Flaky animations,Animation Timing Issue,https://github.com/wix/wix-style-react/blob/3938190371f844b2540f8466dcdd4be7e3eff880/src/Loader/Loader.e2e.js,Jest,Unspecified,Disable CSS animations,Disable Animations,https://github.com/wix/wix-style-react/pull/1936,,,,,,,,
skip flaky eyes loader test,https://github.com/wix/wix-style-react/commit/97b16c6a7dafba4afe9c6c866a36f78c27944523,Flaky animations,Animation Timing Issue,https://github.com/wix/wix-style-react/blob/97b16c6a7dafba4afe9c6c866a36f78c27944523/src/Loader/Loader.e2e.js,Jest,Unspecified,Disabled tests,Remove Test,,,,,,,,,
Fix flaky EditableSelector e2e test: add more  async/await,https://github.com/wix/wix-style-react/commit/33f4920a5eb0aa0aba79f19eb19ce25a3d84629c,Missing proper waiting,Incorrect Resource Load Order,https://github.com/wix/wix-style-react/blob/33f4920a5eb0aa0aba79f19eb19ce25a3d84629c/src/EditableSelector/EditableSelector.e2e.js,Jest,Unspecified,Added await statements,Fix Await Mechanism,,,,,,,,,
"Fix/datepicker onchange (#1631)\n\n* test(DatePicker): remove `beforeEach`\r\n\r\nand be explicit about onChange spy\r\n\r\n* test(DatePicker): move some test cases under describes\r\n\r\njust to organize tests better\r\n\r\n* test(DatePicker): refactor `placeholder` tests\r\n\r\n* test(DatePicker): refactor readonly & locale tests\r\n\r\n* fix(DatePicker): mingle only with date and not time\r\n\r\nby default react-daypicker resets the time of given value\r\nthis is undesirable and unexpected. this commit fixes so that only year,\r\nmonth and day could be adjusted by datepicker leaving time part alone\r\n\r\n* test(DatePicker): use explicit timezone in test\r\n\r\notherwise different environment will interpret it differently and thus\r\ntest becomes flaky",https://github.com/wix/wix-style-react/commit/e9ea12d6a0b2bbdee463f0b1951b4289f03c2867,Flakiness due to default timezone difference depending on platform,Platform Issue,https://github.com/wix/wix-style-react/blob/e9ea12d6a0b2bbdee463f0b1951b4289f03c2867/src/DatePicker/DatePicker.js,Jest,Unspecified,Added explicit timezone,Refactor Logic Implementation,,,,,,,,,
Fix flaky DrillView e2e test (#1645),https://github.com/wix/wix-style-react/commit/500433b98d34a6c25fc52f26f3a3632f8770c3d2,Test timeout in e2e tests,Resource Rendering,https://github.com/wix/wix-style-react/blob/500433b98d34a6c25fc52f26f3a3632f8770c3d2/src/SideMenu/DrillView/DrillView.e2e.js,Jest,Unspecified,Added await statements,Fix Await Mechanism,https://github.com/wix/wix-style-react/pull/1645,,,,,,,,
fix(eyes-flaky-caret): set caret color to transparent for e2e tests (#903)\n\nso that applitools don't fail our build because of blinking text caret,https://github.com/wix/wix-style-react/commit/8516ebc01e32c4f477e7384d92b9975bb1379466,Blinking text caret caused tests to fail,Layout Difference,https://github.com/wix/wix-style-react/blob/8516ebc01e32c4f477e7384d92b9975bb1379466/.storybook/e2e-styles.scss,Jest,Unspecified,Changed caret color to transparent,Refactor Logic Implementation,https://github.com/wix/wix-style-react/pull/903,,,,,,,,
